Participant,Study,Image_CZ,Image_SD,Image_StH,Image_TH,Image_SaH,Image_GR,Voice_CZ,Voice_SD,Voice_StH,Voice_TH,Voice_SaH,Voice_GR,Origin_CZ,Origin_SD,Origin_StH,Origin_TH,Origin_SaH,Origin_GR,Subjective_CZ,Subjective_SD,Subjective_StH,Subjective_TH,Subjective_SaH,Subjective_GR,Story_image,Story_voice,Story_origin,Story_subjective,Story_totalobjective
115,2,2,1,1,2,2,1,1,1,1,2,1,1,2,3,2,3,2,2,3,3,2,4,3,1,1.50,1.17,2.33,2.67,1.67
116,2,2,1,1,1,1,1,1,2,2,1,1,1,1,1,2,2,1,2,2,1,3,2,1,4,1.17,1.33,1.50,2.17,1.33
117,2,2,3,2,2,2,2,3,2,2,2,2,3,3,3,3,3,3,3,4,3,3,3,4,5,2.17,2.33,3.00,3.67,2.50
118,2,1,1,1,1,2,1,1,1,2,1,2,2,1,1,2,1,1,1,1,1,2,1,1,1,1.17,1.50,1.17,1.17,1.28
119,2,1,2,1,2,2,1,1,2,2,2,2,3,1,1,2,2,1,2,1,2,3,3,2,3,1.50,2.00,1.50,2.33,1.67
120,2,3,3,3,3,3,3,3,3,3,3,2,3,3,2,3,2,2,3,5,4,5,5,4,4,3.00,2.83,2.50,4.50,2.78
121,2,1,2,2,1,1,1,1,3,3,2,1,3,2,3,3,3,3,3,2,4,4,2,2,5,1.33,2.17,2.83,3.17,2.11
122,2,2,1,2,2,1,1,2,2,3,3,2,3,3,2,3,2,1,3,2,1,4,3,2,2,1.50,2.50,2.33,2.33,2.11
123,2,2,2,2,2,2,2,2,2,3,3,3,3,2,1,1,1,1,1,3,2,4,3,3,3,2.00,2.67,1.17,3.00,1.94
124,2,1,2,1,2,1,2,1,1,1,2,2,2,2,3,2,3,2,3,2,2,1,3,3,3,1.50,1.50,2.50,2.33,1.83
125,2,1,1,1,1,1,1,1,2,2,2,2,2,1,1,1,2,1,1,1,1,2,3,2,1,1.00,1.83,1.17,1.67,1.33
126,2,2,2,2,2,2,2,2,1,2,1,1,2,2,3,3,3,2,3,3,2,3,3,3,3,2.00,1.50,2.67,2.83,2.06
127,2,3,2,3,3,2,2,3,3,3,3,2,2,2,2,2,1,1,2,5,4,5,4,2,3,2.50,2.67,1.67,3.83,2.28
128,2,1,2,1,2,2,1,1,2,2,2,1,2,1,1,1,1,1,1,1,3,2,3,3,1,1.50,1.67,1.00,2.17,1.39
129,2,1,2,1,1,2,1,1,1,1,2,1,1,3,2,3,3,2,2,3,2,4,4,3,3,1.33,1.17,2.50,3.17,1.67
130,2,1,1,2,1,2,1,2,2,3,3,2,2,2,2,2,3,1,2,1,1,4,5,3,1,1.33,2.33,2.00,2.50,1.89
131,2,1,1,2,1,1,1,2,1,2,1,2,2,2,2,1,2,#NULL!,2,4,2,2,3,#NULL!,1,1.17,1.67,1.80,2.40,1.54
132,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,1,1.00,1.00,1.17,1.33,1.06
133,2,1,2,2,1,1,1,1,1,2,1,2,1,1,1,1,2,1,1,1,3,3,3,2,1,1.33,1.33,1.17,2.17,1.28
